Kecamatan,Nilai
Ngrayun,62504
Slahung,54953
Bungkal,39633
Sambit,41281
Sawoo,63229
Sooko,24736
Pudak,9610
Pulung,53506
Mlarak,36155
Siman,48574
Jetis,32231
Balong,48704
Kauman,47722
Jambon,48322
Badegan,34555
Sampung,40860
Sukorejo,59678
Ponorogo,77297
Babadan,70982
Jenangan,62646
Ngebel,21830
