Kecamatan,Nilai
Ngrayun,49.0
Slahung,89.0
Bungkal,48.0
Sambit,63.0
Sawoo,75.0
Sooko,38.0
Pudak,28.0
Pulung,68.0
Mlarak,147.0
Siman,63.0
Jetis,48.0
Balong,57.0
Kauman,137.0
Jambon,56.0
Badegan,51.0
Sampung,
Sukorejo,45.0
Ponorogo,2942.0
Babadan,75.0
Jenangan,81.0
Ngebel,39.0
